ID	Gender	Age	Time	X_position	Y_position	POINT	SubChain	SubChain_Start_end_tag	SubChain_ID	iter	WGS_distance	Time_Consume	Speed	t_p_i	residual	from	to	osmid	e_i	oneway	length	highway	highway_l	SpeedKM	Overspeeding
C0000078	男	29	2020-05-01 11:53:14	113.01815787	28.21591297	SRID=4326;POINT(113.01815786935065 28.21591297164766)	1	0	C0000078.1	7.0	17.77871266578983	5.0	3.5557425331579657	18	11.240847392521076	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	12.800673119368676	0
C0000078	男	29	2020-05-01 11:53:19	113.01827746	28.21585963	SRID=4326;POINT(113.01827745946285 28.215859634863946)	1	0	C0000078.1	7.0	13.143853865121713	5.0	2.6287707730243417	19	14.856001741595035	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	9.46357478288763	0
C0000078	男	29	2020-05-01 11:53:24	113.01831235	28.21575954	SRID=4326;POINT(113.01831234689892 28.215759535480064)	1	0	C0000078.1	8.0	11.609001946113025	5.0	2.321800389222605	20	5.5784163275693865	6302474597	1958524785	185290934	7354	0	89.44200000000001	['residential']	1.0	8.358481401201377	0
C0000078	男	29	2020-05-01 11:53:29	113.01834325	28.21568345	SRID=4326;POINT(113.01834324619256 28.2156834476469)	1	0	C0000078.1	8.0	8.961490004708393	5.0	1.792298000941679	21	3.408216893728813	6302474597	1958524785	185290934	7354	0	89.44200000000001	['residential']	1.0	6.452272803390044	0
C0000078	男	29	2020-05-01 11:53:34	113.01838709	28.21573133	SRID=4326;POINT(113.01838709052166 28.21573132525189)	1	0	C0000078.1	8.0	6.832018007617438	5.0	1.3664036015234875	22	5.798468831560697	6302474597	1958524785	185290934	7354	0	89.44200000000001	['residential']	1.0	4.919052965484555	0
C0000078	男	29	2020-05-01 11:53:39	113.01821368	28.21580981	SRID=4326;POINT(113.01821368444145 28.21580981333357)	1	0	C0000078.1	9.0	19.115998649467038	5.0	3.823199729893407	23	22.773547337966644	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	13.763519027616265	0
C0000078	男	29	2020-05-01 11:53:44	113.0180353	28.21584732	SRID=4326;POINT(113.01803529967488 28.215847315431052)	1	0	C0000078.1	9.0	17.997367581034382	5.0	3.5994735162068765	24	15.264048613045613	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	12.958104658344755	0
C0000078	男	29	2020-05-01 11:53:49	113.01801637	28.21579837	SRID=4326;POINT(113.01801636935627 28.215798368007793)	1	0	C0000078.1	9.0	5.734232854784679	5.0	1.146846570956936	25	20.998716358684984	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	4.128647655444969	0
C0000078	男	29	2020-05-01 11:53:54	113.01790077	28.21580769	SRID=4326;POINT(113.0179007697095 28.215807693547543)	1	0	C0000078.1	9.0	11.394807030348714	5.0	2.2789614060697425	26	21.50535973132444	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	8.204261061851073	0
C0000078	男	29	2020-05-01 11:53:59	113.01789579	28.21581171	SRID=4326;POINT(113.0178957866769 28.215811707636778)	1	0	C0000078.1	9.0	0.6614108768859125	5.0	0.1322821753771825	27	20.889023913770174	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	0.47621583135785706	0
C0000078	男	29	2020-05-01 11:54:03	113.01768551	28.215890299999998	SRID=4326;POINT(113.01768551063972 28.215890301337584)	1	2	C0000078.1	9.0	22.40437374987556	4.0	5.60109343746889	28	15.282829462429163	1958524785	1958524590	185284721	7298	0	79.277	['secondary']	3.0	20.163936374888006	0
C0000102	女	25	2020-05-01 07:36:15	112.97484447	28.19226442	SRID=4326;POINT(112.97484447233568 28.192264420671858)	1	1	C0000102.1	1.0	0.0	0.0	0.0	0	4.668808131137379	7273503795	3925535789	506854682	14751	1	129.89700000000002	['secondary']	3.0	0.0	0
C0000102	女	25	2020-05-01 07:36:21	112.97487834	28.19239833	SRID=4326;POINT(112.97487834075619 28.192398327838642)	1	0	C0000102.1	1.0	15.208303213554617	6.0	2.5347172022591025	1	14.359749100507608	7273503795	3925535789	506854682	14751	1	129.89700000000002	['secondary']	3.0	9.124981928132769	0
